Country,Confirmed,Deaths,Recovered,Active,Population
Afghanistan,226220,7950,33064,5166,41128772
Albania,334090,3604,9406,5409,2842318
Algeria,271910,6881,37170,13975,44903228
Andorra,48015,159,1814,3312,79843
Angola,105968,1936,2716,11,35588996
Antigua and Barbuda,9106,146,97,8949,93772
Argentina,10054576,130472,709464,1378,45510324
Armenia,449650,8751,42829,10742,2780472
Australia,11608166,23129,2815,2102,26177410
Austria,6081287,22534,70808,4206,8939617
Azerbaijan,833189,10332,291365,80208,10358078
Bahamas,38084,844,183,16,409989
Bahrain,696614,1536,76543,5043,1472237
Bangladesh,2045734,29477,20202,126554,171186368
Barbados,110023,620,1487,905,281646
Belarus,994037,7118,1973,397,9534956
Belgium,4817196,34339,287,19,11655923
Belize,71060,688,100786,29385,405285
Benin,28036,163,23370,6048,13352864
Bhutan,62697,21,4502854,403395,782457
Bolivia,1208716,22404,143,0,12224114
Bosnia and Herzegovina,403155,16354,1542,668,3233530
Botswana,330275,2800,7050,18416,2630300
Brazil,37721749,704659,472,44,215313504
Brunei,311449,163,277,6,449002
Bulgaria,1302188,38414,20117,663,6781955
Burkina Faso,22056,396,153857,19249,22673764
Burma,26064,598,7050,18416,54409800
Burundi,54366,15,1924,2868,12889583
Cabo Verde,6913,74,5970,869,548800
Cambodia,138941,3056,1103,96,16767851
Cameroon,125090,1974,452054,14269,27914542
Canada,4712542,53260,85658,381,38454328
Central African Republic,15367,113,10242,323,5579148
Chad,7698,194,52669,33694,17723312
Chile,5288823,61607,16953,2662,19603736
China,99312876,121714,5440,385,1425887360
Colombia,6381470,142977,1444,517,51874028
Comoros,9109,160,54909,58148,836783
Congo (Kinshasa),25196,389,26462,5446,5970430
Costa Rica,1238884,9428,24,8,5180836
Côte d'Ivoire,88338,835,93627,22220,28160548
Croatia,1275337,18351,120511,14129,4030361
Cuba,1115103,8530,97643,704,11212198
Cyprus,660854,1364,4894,86,896007
Czechia,4651538,42849,372,42,10493990
Denmark,3417017,8824,5282,265,5882259
Djibouti,15690,189,37683,44469,1120851
Dominica,15760,74,28,2,72758
Dominican Republic,667073,4384,8500,3003,11228821
Ecuador,1069135,36043,103232,596601,18001002
Egypt,516023,24830,8189,592,110990096
El Salvador,201807,4230,2540,971,6336393
Equatorial Guinea,17130,183,6119,5074,1674916
Eritrea,10189,103,274934,38909,3684041
Estonia,602187,2902,46398,301,1326064
Eswatini,74996,1427,1347,20295,1201680
Ethiopia,501060,7574,24,0,123379928
Fiji,69047,885,1728,617,929769
Finland,1486084,10265,2304,999,5540745
France,38997490,167985,7104,1526,67813000
Gabon,48992,307,2466,984,2388997
Gambia,12626,372,6077976,867496,2705995
Georgia,1855289,17132,251481,65706,3744385
Germany,38437756,174979,403950,64010,83369840
Ghana,171653,1462,332330,58004,33475870
Greece,5405742,37572,225725,62209,10384972
Greenland,11971,21,238525,74829,56494
Grenada,19693,238,3142,4279,125459
Guatemala,1271070,20235,103980,3031,17843914
Guinea,38563,468,22693,1481,13859349
Guinea-Bissau,9614,177,14282,1203,2105580
Guyana,73387,1299,102722,7191,808727
Haiti,34326,860,44227,3615,11585003
Holy See,12,0,12,0,809
Honduras,474587,11127,22,1,10432858
Hungary,2206311,48807,1322,1234,9967304
Iceland,209142,186,22719,29384,372903
India,44998838,532032,926,832,1417173120
Indonesia,6813429,161918,1245,36,275501344
Iran,7617752,146410,23791,17272,88550568
Iraq,2465545,25375,117,24,44496124
Ireland,1721152,9249,2751,3109,5023108
Israel,4839886,12691,16012,453,9449000
Italy,26082645,191715,4644,997,59037472
Jamaica,156328,3606,10780,4161,2827382
Japan,33803572,74694,9683,1142,123951696
Jordan,1746997,14122,2937,703,11285875
Kazakhstan,1502857,19072,7266,121,19397998
Kenya,343955,5689,358,27,54027484
"Korea, South",34571873,35934,291365,80208,51815808
Kosovo,274020,3210,43982,16322,1782115
Kuwait,666333,2570,209,22,4268886
Kyrgyzstan,88889,1024,310,5,6630621
Laos,218870,671,9429,4014,7529477
Latvia,976316,7384,124854,22415,1850654
Lebanon,1239904,10947,7203,2571,5489744
Lesotho,34490,706,9807,1956,2305826
Liberia,7930,294,74252,30818,5302690
Libya,507269,6437,4761,162509,6812344
Liechtenstein,21491,87,1801,45,39355
Lithuania,1329905,9710,4225,886,2750058
Luxembourg,384378,1000,1123,9,647601
Madagascar,68344,1425,51711,7277,29611718
Malawi,88986,2686,16099,3671,20405318
Malaysia,5129131,37194,11863,3328,33938216
Maldives,186694,316,91731,11389,523798
Mali,33152,743,303458,8904,22593598
Malta,120422,882,95552,21632,533293
Mauritania,63757,997,733000,79865,4736146
Mauritius,309830,1054,276094,54594,1299478
Mexico,7690908,334630,52803,30704,127504120
Moldova,623684,12126,116628,30417,3272993
Monaco,17001,67,1011911,244003,36491
Mongolia,1011116,2284,3566,1296,3398373
Montenegro,251280,2654,18,1,627082
Morocco,1276812,16297,64,0,37457976
Myanmar,641280,19494,890,17,54179312
Mozambique,233652,2249,682,17,32969520
Namibia,171998,4098,324737,9189,2567024
Nepal,1003441,12031,0,33923,30547586
Netherlands,8618815,22986,144,4,17564020
New Zealand,2385438,3347,57698,141,5185289
Nicaragua,16043,245,5553,13183,6948395
Niger,9515,315,5024,3061,26207982
Nigeria,286572,3155,3079,669,218541216
North Macedonia,349104,9946,150376,677807,2093606
Norway,1489076,5705,6764,6070,5434324
Oman,399449,4628,4830,98,4576300
Pakistan,1580631,30656,0,92557,235824864
Panama,1047555,8654,488,32,4408582
Papua New Guinea,46864,670,9006,1095,10142625
Paraguay,735853,19971,183,305,6780745
Peru,4520727,221704,3451,126,34049588
Philippines,4113434,66696,1444,442,115559008
Poland,6523335,119654,5032,25771,39857144
Portugal,5621015,27424,293145,32108,10270857
Qatar,514524,690,116861,141234,2695131
Romania,3455207,68341,2495,548220,19659270
Russia,23029404,400047,1930,288,144713312
Rwanda,133194,1468,3062983,4440579,13776702
Saint Kitts and Nevis,6607,46,1024,48,47681
Saint Lucia,30082,410,37240,6327,179872
Saint Vincent and the Grenadines,9644,124,14541,537,103959
San Marino,24644,126,6582,5364,33690
Sao Tome and Principe,6597,80,33064,5166,227393
Saudi Arabia,841469,9646,9406,5409,36408824
Senegal,89022,1971,37170,13975,17316452
Serbia,2552178,18057,1814,827,6871547
Seychelles,50937,172,2716,3312,107135
Sierra Leone,7766,125,97,11,8605723
Singapore,2594809,1872,709464,150837,5637022
Slovakia,1867525,21167,24987,1378,5643455
Slovenia,1345384,9448,42829,10742,2119843
Somalia,27334,1361,2815,2102,17597508
South Africa,4072533,102595,70808,4206,59893884
South Korea,34571873,35934,291365,80208,51815808
South Sudan,18368,138,183,16,10913172
Spain,13980340,121852,76543,5043,47558632
Sri Lanka,672589,16882,20202,126554,21832150
Sudan,63993,5046,1487,905,46874200
Suriname,82588,1408,1973,397,618046
Sweden,2717141,24834,287,19,10549349
Switzerland,4413452,14055,100786,29385,8740471
Syria,57423,3163,23370,6048,22125242
Taiwan,527,7,488,32,23816775
Tajikistan,17786,125,834,2367,9952789
Tanzania,43078,846,4502854,403395,65497752
Thailand,4757473,34474,143,0,71697024
Timor-Leste,23460,138,15818,7610,1341298
Togo,39522,290,1542,668,8848700
Trinidad and Tobago,191496,4390,5970,869,1531043
Tunisia,1153361,29423,277,6,12356116
Turkey,17004677,101419,20117,663,85341248
Uganda,171843,3632,1103,96,47249588
Ukraine,5520483,109918,452054,14269,39701744
United Arab Emirates,1067030,2349,85658,381,9441138
United Kingdom,24743787,229765,783131,91956,67508936
Uruguay,1039238,7634,52669,33694,3422796
United States of America,103436829,1127152,475,13,338289856
Uzbekistan,174123,1016,16953,2662,34627648
Venezuela,552695,5856,54909,58148,28301700
Vietnam,11623698,43206,26462,5446,98186856
West Bank and Gaza,3550,8,5355,7,11596
Western Sahara,11945,2159,24,8,33696612
Yemen,2051,595,1329,127,29825968
Zambia,349287,4069,93627,22220,20017670
Zimbabwe,265753,5718,120511,14129,16320539
